index,x,y,z
0,-0.038712516,-0.02894783,-0.023789763
1,-0.09088285,-0.08637619,0.079383254
2,0.018907562,-0.09929848,0.05788076
3,0.18843882,0.006825447,-0.20344949
4,-0.95976985,0.8049946,0.2761593
5,-0.25836268,2.1536856,0.9279349
6,-1.8301404,2.4522219,-0.1782614
7,0.58418965,1.152422,1.550553
8,1.6027505,-1.9292121,1.5546257
9,-1.4698347,-5.2314916,0.63971245
10,0.40587795,-3.3216577,-0.8292525
11,0.70089436,-4.700777,-0.49533403
12,2.3983917,-2.7016873,-4.918734
13,-0.31237173,6.286083,0.4500146
14,-3.618847,8.779521,2.1921177
15,-0.81601447,7.3138123,2.9911623
16,-0.8309299,-0.6330271,3.9144435
17,-0.7287056,-7.402768,2.1614876
18,0.084646225,-2.9799576,-0.5733886
19,0.6207198,0.14284801,-0.39277196
20,-0.18469101,-0.15111637,-0.21004152
21,-0.18134695,0.13354206,0.46959615
22,0.1525675,-0.024270058,-0.18842816
23,0.16898525,-0.04970646,0.21750855
24,-0.021852612,0.034160614,0.042558193
25,-0.14129734,-0.09632683,-0.04877758
26,0.19959378,-0.017054558,0.077979326
27,0.04139483,0.014814377,0.11315894
28,0.07200086,0.012513161,0.18678212
29,0.0041730404,-0.061676025,0.060717583
