index,x,y,z
0,0.041311383,0.036902428,-0.060196877
1,0.070011616,-0.03910446,-0.1833067
2,-0.058657408,-0.041706085,-0.0038719177
3,0.031761646,-0.024009705,-0.0037345886
4,0.071731806,-0.022623062,0.03724289
5,-0.042476535,-0.09783268,-0.11113548
6,0.026331306,0.006781578,-0.19328833
7,-0.003941655,0.018274307,-0.06779957
8,0.016291738,-0.20987368,-0.13100624
9,-0.09159744,-0.06554794,0.19427395
10,0.038663864,0.050458908,-0.10668421
11,0.2358656,0.30878544,0.1014123
12,-1.0888207,4.307953,3.2845216
13,-3.2554922,3.2449455,5.1408753
14,-0.16639641,-1.344204,1.8836949
15,-0.28539544,-4.3652787,-1.1276275
16,-0.84269136,-4.1623487,0.47078687
17,2.3848023,-4.034218,0.68566114
18,4.132655,-3.400155,0.24334967
19,1.8836461,-2.5576,0.806039
20,1.4302306,0.09649658,-0.9288056
21,-3.8101134,1.1411419,3.0061183
22,-5.031663,4.1553288,1.9983721
23,-2.002131,1.0400486,0.80549145
24,-0.24286795,0.66220856,0.8676319
25,-1.7516143,2.7275753,2.576024
26,-3.9926095,3.7618084,5.3139367
27,-1.0131818,0.75755405,0.7482418
28,-0.55516696,-6.042119,-1.691206
29,0.7351955,-5.501915,-0.36406994
30,0.2562763,-1.3303413,-0.45477644
31,0.16084608,-0.029829979,0.36743146
32,-0.32355818,0.024700165,-0.07005423
33,0.0978744,-0.21149349,0.03285414
34,0.029642105,0.007317543,-0.07191491
35,-0.08608566,0.091908455,0.09102273
36,-0.14668009,0.023665428,-0.01696822
37,0.16368188,-0.20969868,0.053738028
38,-0.13998635,-0.04485798,-0.26602298
39,0.12933543,0.020745277,0.07433778
40,-0.08309771,0.026510239,0.09338534
41,0.017720431,-0.11554432,0.010271072
42,0.003592968,-0.06742573,0.06449634
43,0.06774753,-0.0064516068,-0.13834369
44,0.124280006,-0.14392662,0.05856839
45,-0.094638824,-0.048799515,0.13725615
46,-0.042352993,0.018556595,-0.06571558
