index,x,y,z
0,0.04875517,0.02340126,-0.1385783
1,-0.097198725,0.021593094,-0.08496356
2,0.11862087,-0.13724613,-0.19069195
3,0.72859144,0.3063202,-0.022443175
4,-0.16055799,0.4068594,0.33487362
5,-1.7007277,0.8699789,0.6256489
6,-2.4729028,-0.08020115,0.16921678
7,-2.228325,-1.1248779,-0.6398944
8,-2.8065805,-1.3969669,-1.3648771
9,-3.0147529,-1.2209034,-1.5311
10,-3.8337893,-2.2966957,-2.3662467
11,0.98717976,-1.869667,-1.6360245
12,2.2307549,-0.54268265,-0.56142807
13,4.1337876,-1.5492826,1.3708181
14,3.0585341,-1.8007121,1.8076115
15,1.2594762,-1.0728765,3.0926642
16,0.053325653,-1.0307331,2.3962822
17,-1.2803466,-2.3143597,1.9078648
18,0.40712237,-2.149701,0.12737536
19,1.1517191,-1.0171981,-1.7904437
20,-1.805047,-1.9466491,-1.3420161
21,-3.1092734,-1.4898534,-3.587324
22,-4.8478045,-0.7736678,-2.211773
23,-3.8506007,-0.046008587,2.56467
24,-1.2365575,-0.2157731,4.2495146
25,-0.4847939,-1.1892481,0.7185941
26,1.1061654,-1.0550947,-0.30354977
27,0.94254625,-0.4693551,-0.22607231
28,0.7981,-0.34128952,-0.0289464
29,-0.3763805,0.0038790703,-0.33877087
30,-0.3354007,0.2087326,-0.24934006
31,-0.21665627,0.10951805,-0.14810848
32,-0.1753149,0.015525341,-0.13523579
33,-0.16893727,0.14117432,-0.2584381
34,-0.18984878,0.07312012,-0.17144156
35,-0.12545872,0.022801876,-0.14127731
