index,x,y,z
0,0.16934955,-0.06830311,-0.04283619
1,0.14351285,-0.009783745,-0.044225693
2,0.040103078,-0.0172863,0.2992463
3,-0.019184113,-0.045557022,0.041488886
4,0.09187162,-0.08394432,-0.14713383
5,0.33489203,-0.062428474,-0.38245058
6,-0.744055,0.54533863,-2.0310557
7,0.43828225,4.836567,4.8054895
8,-0.316573,3.2052689,2.5321178
9,-0.20887932,-2.884718,3.2521052
10,-1.7330335,-5.621658,0.99394894
11,1.2510202,-7.1916757,-0.9900521
12,1.6972682,-5.3830385,0.032370865
13,0.38531208,-0.94951344,-0.18561578
14,-2.1634426,6.2615633,-0.24506426
15,-5.4587994,6.837838,1.7745099
16,-1.3227506,0.86732197,1.2880912
17,0.13328958,-3.8625135,0.98700523
18,-3.3006458,-2.4693813,-1.5622442
19,-2.358398,-0.33211517,0.11008406
20,4.3206334,0.13170052,0.96443534
21,1.5452164,-0.18895435,-0.61437535
22,0.021944776,0.036286354,-0.7264817
23,-0.11221007,0.1983738,0.14746809
24,0.42267585,-0.21985054,-0.032310486
25,-0.12868866,0.18153286,-0.13797688
26,0.3567217,-0.0884943,-0.11456299
27,-0.13768648,0.07521725,0.031147718
28,0.13049096,-0.09619427,-0.07618737
29,-0.13129087,-0.009836197,-0.055747747
30,0.20011653,-0.103087425,0.21163797
31,0.028044412,-0.08285999,-0.07161474
32,0.1760054,-0.068006516,0.08506107
33,0.12482448,-0.10218048,-0.19015145
