index,x,y,z
0,0.047207355,-0.027955055,-0.009977341
1,0.038837194,-0.047410965,-0.06802416
2,0.032973528,0.002609253,-0.10141516
3,0.045829296,-0.010532379,-0.01740694
4,0.1455816,-0.056417465,-0.03753066
5,-0.06568909,0.02999115,-0.023433447
6,-0.030341864,-0.07608032,0.054778576
7,0.17459929,-0.09005356,-0.13851047
8,0.61405265,-0.46862984,-0.7679821
9,-1.8190366,3.5200052,1.0122795
10,-3.2971687,5.1913004,1.282545
11,0.03194028,1.7487097,1.6975374
12,-0.2567098,-2.4415703,2.9511335
13,2.903335,-8.056459,4.287929
14,4.341133,-9.645799,0.5576755
15,-3.5031183,-4.2317033,-2.7376635
16,-10.343174,0.4434147,-0.3547396
17,-8.554512,2.9755688,0.40783525
18,10.171166,-0.197896,3.4826245
19,5.7698774,1.2301865,3.4289153
20,3.0015028,-0.6512537,2.8951924
21,2.2607217,-4.8458023,3.363744
22,-3.4933476,-4.8986826,1.3541379
23,-5.120026,-1.6668415,-3.5713544
24,-7.207692,0.10836983,-3.760632
25,1.6642315,4.874981,8.763599
26,3.7765949,1.3267622,3.1271348
27,0.42501426,-0.2658081,-0.01313591
28,-0.27440238,-0.22927094,-0.25840664
29,-0.11276126,0.19995117,-0.12745953
30,0.13314652,-0.009986877,-0.023277521
31,0.21075654,-0.059205055,-0.09986925
32,-0.057907104,-0.036847115,-0.100564
33,-0.049016237,0.0004196167,-0.019026756
34,0.12193513,-0.0109939575,-0.02614975
35,0.080007076,0.014360428,0.027785778
36,0.09417534,0.021081924,-0.008441925
37,0.01618743,0.012664795,0.050735235
38,0.010705233,-0.054224968,-0.11551738
39,0.017531872,-0.017884254,-0.040103436
40,0.0669353,-0.011884689,-0.10642886
