index,x,y,z
0,0.19622183,0.24897766,-1.7232778
1,0.0250386,0.32111835,-2.0352073
2,0.2249996,0.24571419,-1.9212625
3,0.14978409,0.3189211,-1.8502913
4,0.29857492,0.30285645,-1.8259199
5,0.16087353,0.34528255,-2.0016446
6,-0.027474523,0.35446358,-1.7977705
7,0.19557238,0.35076237,-1.963876
8,0.038861275,0.27196026,-2.0058708
9,0.39313352,0.8350687,-1.9155724
10,-0.4312346,1.5960884,-1.2617654
11,-3.7178082,1.3903599,-1.2887847
12,-4.68589,-2.2401118,-1.1099144
13,-1.1058353,-4.948628,-2.9509566
14,7.1460648,-5.0962715,-2.42397
15,7.11514,-0.3552804,0.8850932
16,3.1208482,3.5698304,2.015481
17,-0.96200275,6.3879876,1.1776357
18,-6.8317046,5.5015855,3.9557924
19,-4.424768,1.0100555,-0.04444599
20,-1.4719558,-2.548647,-1.7796984
21,-1.4575924,-0.72131157,-2.7176933
22,-0.6192125,0.4963827,-1.2622218
23,-0.6471238,0.8916979,-1.9776354
24,-0.34094572,0.7461662,-1.7133045
25,-0.0704968,0.7550974,-2.0529473
26,-0.4743781,0.898613,-1.275229
27,0.10367912,0.6956148,-1.6221476
28,-0.37295496,0.87654686,-1.8211758
29,-0.25781298,0.79872036,-1.4657702
