index,x,y,z
0,0.0230155,0.03123951,-0.11872959
1,0.050569057,-0.039711,-0.0411551
2,0.052687407,-0.060941696,-0.113422155
3,0.026194334,-0.03348732,-0.10459542
4,-0.09407377,-0.066827774,-1.9653996
5,-0.4535879,2.06322,0.54524326
6,-1.0440534,4.4387255,0.10293102
7,-2.0002565,1.2240391,4.341941
8,-0.17425883,-0.39015675,1.0941651
9,-1.8684808,-1.550744,1.7940651
10,0.68560654,-6.8052063,1.2699642
11,0.1238541,-1.0452623,-0.8232422
12,0.07013029,0.16878319,0.14359152
13,0.94578016,0.14204025,0.6686662
14,1.643142,-0.24734688,0.7423589
15,1.3864751,-1.7255993,0.37981972
16,1.2691419,-2.6600218,1.214994
17,0.397269,-1.97787,0.2112155
18,-2.0746288,-0.9297285,-0.7587353
19,-1.4309616,0.6178322,-0.19841528
20,-2.6810946,0.91853714,-0.029121399
21,-2.7205122,2.1449556,1.2006192
22,1.4234495,1.0712223,0.8646169
23,2.2106242,0.7310829,2.2907279
24,1.6923236,-0.24175835,-0.17175007
25,-0.010940313,0.17315006,-0.23283005
26,-0.2810006,0.15324402,-0.53883624
27,0.09424734,-0.10883427,0.0955894
28,0.24655628,-0.06916332,-0.054096222
29,0.043354034,0.037236214,0.07406545
30,0.019315004,-0.039803505,-0.15608859
31,-0.24586058,-0.0670557,0.0658052
32,-0.07907915,-0.043665886,0.10868955
33,0.1349504,-0.096673965,-0.18896389
34,0.093774796,-0.04485321,-0.0715549
35,-0.018094063,0.05496502,-0.07320857
36,0.020575523,-0.038970947,-0.02982378
37,0.044194937,-0.021263123,-0.13187957
38,-0.018963814,0.053041458,-0.059979916
39,-0.053871155,-0.0422163,-0.11037803
40,-0.063472986,0.06721687,-0.10621405
41,-0.023877144,-0.090340614,-0.13067794
42,0.11016512,0.028029442,-0.073502064
43,0.16053104,0.017058372,-0.17135239
44,-0.041460037,-0.004228592,0.006832361
45,-0.110952854,-0.13117123,0.03554964
46,-0.06114316,0.033429146,-0.04339719
47,0.021171331,0.028858185,-0.10040617
48,0.010131836,-0.15695286,-0.062440634
49,0.07801938,0.025502205,-0.029853106
