index,x,y,z
0,0.35096645,0.34081936,-0.96080065
1,0.3872695,0.41228008,-0.9170878
2,0.15117216,0.20437431,-0.95151186
3,0.34225774,0.33908844,-1.0075271
4,0.21468687,0.293499,-1.0084779
5,0.18317139,0.32090473,-0.88610315
6,-0.46233785,0.29179,-1.0082965
7,-2.5043817,0.55487823,-0.936157
8,-3.2129588,0.5225687,-0.89456534
9,-1.195123,-0.15940285,-1.3824394
10,5.768167,-1.4235921,-0.16411018
11,3.4277654,-1.4055634,-0.2276125
12,0.0590626,-4.877631,-4.8890743
13,1.5346004,-1.5777369,-1.913872
14,-0.5468421,6.2930326,2.5965052
15,5.4937496,0.42496586,2.3489923
16,5.9267845,-1.696517,-0.41272783
17,-4.634759,0.7399254,-0.4878044
18,-7.762763,0.99794483,-1.4995346
19,-6.643462,-0.091918945,-1.9972103
20,0.18672091,-0.4374199,0.00756979
21,8.157868,-1.2879791,1.6720028
22,3.486391,-1.7199821,-0.74952745
23,-1.7535436,-3.9206066,-3.693141
24,2.79677,-0.20821953,-3.0121975
25,0.6289751,6.608429,2.1367974
26,3.0960863,1.9472947,2.798252
27,1.100908,-0.97658396,0.2981224
28,-5.606771,-0.060441017,0.455276
29,-1.9707257,0.042518616,-0.31125307
30,-1.4615077,0.6405673,-1.6624379
