index,x,y,z
0,0.6914588,-0.27708626,-0.05935526
1,0.32056606,0.01132679,0.27931166
2,0.42801356,-0.0751276,0.19922447
3,-0.011537075,-0.41457176,-0.05274248
4,-0.15699518,0.17838001,-0.07431555
5,0.47837782,-0.4701414,-0.25476265
6,2.3444152,-0.7374058,-2.4021862
7,-2.583346,5.679309,3.1384997
8,-1.7325559,4.548667,2.9097846
9,-1.2017847,0.6801138,3.3769116
10,-0.44544023,-1.5874681,1.468887
11,-0.5290201,-6.4244175,0.30551577
12,1.397399,-7.1147075,-2.8394012
13,0.0810177,-4.744335,-2.8054178
14,2.686998,0.07401562,-0.3921888
15,1.095568,5.598879,1.8367772
16,2.4613202,3.7221746,3.5154085
17,-0.8059802,0.94078636,4.813806
18,-5.7941475,3.299347,3.649154
19,-1.7882893,1.7469883,0.72393036
20,-1.466196,-3.634592,1.2326901
21,0.7198498,-7.036521,-0.9271679
22,2.8548028,-7.639018,-1.5405092
23,1.9978154,-5.3467565,0.9176557
24,0.057809353,2.6564808,1.3522761
25,-1.6974969,7.2776814,-2.0267174
26,-3.3299298,4.720126,2.3321695
27,0.6569159,-0.89578533,-0.13148499
28,0.329154,-0.11823845,0.45751405
29,0.24812698,0.0188694,-0.08052087
30,0.045073748,0.13127422,-0.00042915344
31,0.06703472,0.14494896,-0.018536806
32,0.2034769,-0.019869804,0.06128764
33,0.23387527,0.04924488,0.041018248
34,0.34662318,-0.049596786,-0.050380945
35,0.2407465,0.029407501,0.3385527
36,0.184546,-0.0018377304,-0.07293677
37,0.23995876,-0.013290405,-0.18503094
