index,x,y,z
0,-0.058180094,-0.05731082,-0.016494751
1,0.05672419,-0.047416925,0.24913311
2,0.03498435,0.0074973106,-0.27674007
3,-0.019316196,-0.057642937,-0.048000336
4,0.0064969063,-0.02560258,-0.17684174
5,0.108823776,0.025922298,-0.15360737
6,0.017161965,0.042586803,-0.24994278
7,0.10583496,-0.0002808571,-0.08734512
8,0.069212556,0.002712965,0.08758545
9,0.0115811825,-0.05293846,-0.13160896
10,-0.17274702,-0.044483185,-0.0735569
11,0.09218514,-0.008191347,0.01624012
12,-0.043186665,0.1651938,-0.26761436
13,-0.3501544,0.19983697,-0.65250874
14,-0.42836732,0.7674329,1.2906322
15,1.0380303,1.6719015,8.3917055
16,-3.2429633,-2.492377,4.528942
17,0.61624765,-2.595487,0.9581399
18,-0.13373381,-5.862315,-4.746261
19,-1.7741154,-2.88807,-1.1403055
20,0.9396342,-1.2942266,-1.6872516
21,-0.0109503865,-0.2337265,-0.2828412
22,0.96888244,-0.3419485,0.4397025
23,-0.09882206,0.16625595,-0.1753192
24,-0.14812744,-0.10047245,0.04746723
25,-0.083198845,-0.14626408,-0.17212725
26,0.10494661,-0.12478447,0.5514245
27,0.03364122,-0.046945572,0.07948685
28,0.2614454,-0.20403385,0.08386421
29,0.0030133724,0.1508522,0.08573055
30,-0.16609645,-0.056518555,0.13370275
31,0.34409267,-0.073498726,0.014906406
