index,x,y,z
0,-0.068898395,0.03281021,1.0615716
1,0.018867768,-0.013561249,0.67609525
2,0.09491379,-0.10404968,0.8671353
3,0.08686856,-0.1007843,1.0994631
4,0.06281243,-0.087052345,0.8437897
5,-0.0016596764,-0.117824554,0.72682387
6,0.019833542,-0.053465843,0.67139727
7,0.2206478,-0.13531208,0.8476622
8,-0.070896514,-0.029563904,0.77110046
9,0.046761796,-0.13582039,0.83638716
10,-0.14598686,-0.1416254,0.77605426
11,0.19243637,-0.015152931,0.7941642
12,0.051268004,-0.070474625,1.0543253
13,0.16775472,-0.08598232,0.944684
14,-0.02772002,0.08027649,0.6346439
15,0.020061657,-0.14416885,0.67220765
16,0.035894766,-0.03723049,0.7939999
17,0.15187941,-0.19798756,0.92279786
18,-0.12899268,-0.53774834,0.48175398
19,-0.38472074,-4.886609,2.8163033
20,-0.6340452,-8.049976,3.1351862
21,4.97827,5.4380994,-5.1429176
22,-7.4033575,7.583933,4.089821
23,-2.3013582,3.134674,7.4375744
24,4.5493927,-0.5267081,-0.5779369
25,-1.7622857,-2.5144053,-2.245596
26,-1.5786505,-0.7860098,1.0397692
27,0.47742224,0.021513462,0.8798394
28,0.60478854,-0.09438801,0.57238436
29,0.7631428,0.24769163,0.18616152
30,0.63042974,0.13594913,0.60231733
31,0.62471056,-0.08107996,0.33941507
32,0.7378335,0.07318401,0.3787384
33,0.55713415,0.055388927,0.65412664
34,0.7820873,0.0650301,0.26575184
35,0.72155166,0.06386185,0.54208374
36,0.6682868,-0.043011665,0.57156897
37,0.7704828,0.027089119,0.37907648
38,0.54244184,-0.03608179,0.49699974
39,0.6945658,0.12626457,0.34313583
40,0.6522131,0.060783386,0.35301638
41,0.6933098,0.006597519,0.410192
