index,x,y,z
0,-0.046842575,-0.07200146,-0.005771637
1,0.020413876,-0.076842785,-0.015901089
2,0.0010595322,-0.06085539,0.043435574
3,-0.015672684,-0.062842846,-0.0108475685
4,0.027875423,-0.089138985,-0.0063738823
5,0.004447937,-0.08115721,-0.029032707
6,0.018817902,-0.072565556,-0.00787735
7,0.070293665,-0.082526684,0.043994904
8,-0.10257959,-0.048871994,0.06431866
9,0.052265167,-0.08733797,-0.044137955
10,0.055138588,-0.059773445,0.03490448
11,-0.004817486,-0.10047865,-0.045959473
12,-0.31612492,0.34849644,-0.7052264
13,-1.2836256,1.5854554,2.7951708
14,-5.6664248,4.889327,4.082427
15,-2.0071845,-2.4555888,4.4712677
16,-0.079570174,-4.652639,0.4865389
17,0.04738301,-5.138643,-1.5166438
18,0.2603001,-2.0857062,0.27257586
19,-0.012289345,-0.51070595,-1.3698092
20,1.8476232,-3.6393962,0.6808928
21,3.4854429,-3.842278,-1.7800354
22,2.473689,-3.810646,-1.0290565
23,2.8676493,0.39458275,2.2454772
24,-2.992198,5.944568,0.55684376
25,-3.6756318,5.088209,0.7793536
26,-1.3522174,1.9362507,0.07946968
27,-5.2704425,5.334427,4.058799
28,-5.123821,3.0244236,4.428852
29,-0.8027304,-1.9514489,1.4745842
30,-1.711008,-7.1264,0.18399644
31,0.9984623,-4.6081123,-1.1116434
32,0.7810713,-1.0262957,-0.286777
33,-0.15001476,0.25611687,-1.0887784
34,0.49690533,-0.46765232,0.6657773
35,-0.15628886,0.026960373,0.23104495
36,0.105475545,-0.09764576,0.2886977
37,0.055813074,-0.1732502,0.14561176
38,-0.04965943,-0.013199806,0.0025585592
39,-0.2737801,0.14925385,0.06275752
40,0.04785657,-0.042121887,0.15028855
41,-0.24775618,-0.054489136,0.023661703
