index,x,y,z
0,0.38963902,-0.11348724,-0.06965017
1,0.2788546,0.036019325,-0.1525979
2,0.12136388,0.03072548,-0.026934624
3,0.7202811,-0.17276764,0.093859196
4,0.012085915,0.1451807,-0.103658676
5,0.2679857,0.024920464,-0.019713879
6,0.113643646,0.019647598,0.006052971
7,0.24223971,-0.011962891,-0.052758694
8,0.1573224,0.010684967,0.037654877
9,0.42527163,0.08554554,-0.2870593
10,0.037873745,0.060930252,0.0678072
11,0.2292695,-0.017251968,0.10315132
12,-0.2168212,0.104696274,-0.75913143
13,-0.17010379,0.14833117,-0.4194646
14,-0.62763834,0.7769761,-2.300682
15,0.48413634,-0.29182053,-4.117009
16,5.349598,-0.50956213,-4.096351
17,2.0708594,-5.7796583,1.2964444
18,-0.18377733,-3.5545487,7.600065
19,-4.3287935,-4.4280567,7.2621865
20,-12.152376,-8.112052,1.3244443
21,-6.3564587,-4.8213825,-1.2116275
22,-1.2470856,-5.1702147,-2.3289614
23,-0.96005535,-4.6198087,-1.0228391
24,0.5786048,-3.2328181,-3.4551578
25,0.8665843,-2.5622091,-1.4590883
26,2.1040065,-0.76494217,1.9633908
27,0.6068162,-0.043190956,1.3106413
28,0.04298687,0.16748714,0.19631052
29,0.35304213,-0.015780449,-0.5372524
30,0.2996304,0.104777336,-0.47145844
31,0.21023893,0.010249138,-0.04551077
32,0.2527597,0.11312866,-0.24219799
33,0.012122631,-0.035923958,-0.025537014
