index,x,y,z
0,0.08937335,-0.05368328,-0.06292629
1,0.05436504,-0.032860756,-0.08527255
2,-0.029408336,-0.027531624,0.10650158
3,0.049684525,-0.088318825,0.036340237
4,0.06288552,-0.04220009,-0.08217478
5,0.0075620413,-0.083379745,0.002392292
6,-0.035529733,0.0035028458,0.096298456
7,0.077723265,-0.07598591,-0.1509738
8,0.07108557,-0.089987755,-0.1716075
9,0.49948943,0.18789387,-0.5183506
10,-0.43662238,2.2410498,0.3337083
11,-1.1484945,4.3906984,3.9034789
12,-2.6916769,0.81013966,2.1587327
13,-1.168503,-2.7752476,4.519055
14,1.4734461,-3.188774,0.9625927
15,3.430051,-4.4870605,-0.14369452
16,4.308079,-5.1914506,-1.804158
17,-2.443385,-2.2586403,-1.4742703
18,-5.746662,0.20381832,0.39040887
19,-5.584973,1.2538242,0.9089134
20,-1.1229433,1.197442,0.7689009
21,3.6906528,-0.27359676,0.6109538
22,3.6342735,-1.5350952,-0.46229386
23,4.081261,-3.010056,0.3864665
24,1.917688,-2.2403173,2.0215144
25,-2.2109203,1.0089731,1.829982
26,-3.361663,2.828268,-1.1957644
27,-0.85137963,0.9680948,-0.6214464
28,0.00028514862,0.10484791,0.007496834
29,0.10241628,-0.07050705,-0.10555315
30,-0.21641636,0.053117752,-0.014356852
31,0.02055645,0.0020332336,-0.03072071
32,0.31008625,0.009444237,-0.10999131
33,-0.043435335,-0.0827198,-0.17772794
34,0.02481842,-0.008016586,-0.087197304
35,0.080350876,-0.0046157837,0.19498968
