index,x,y,z
0,-0.23980999,-0.065052986,-0.039986283
1,-0.15223527,-0.10345554,-0.20784803
2,-0.1489687,-0.09258461,-0.08197579
3,0.053310394,-0.0675354,0.018674433
4,-0.2704394,-0.02620411,-0.12479545
5,-0.0033106804,-0.022714615,-0.23555648
6,0.37330437,-0.074053764,-0.2749503
7,0.017072916,0.041553497,-0.47421885
8,-0.27616692,0.7005043,0.3111322
9,-2.6016955,1.2610159,0.84201974
10,-2.6740403,-0.6319523,0.5300597
11,-2.61999,-1.5694828,-1.3300247
12,-2.3248634,-1.891612,-1.4357393
13,-2.682376,-1.6721778,-2.1984715
14,-0.7403567,-2.298522,-2.3143256
15,1.3090243,-1.5215878,-3.0665169
16,2.5761385,-1.6347346,0.38690996
17,5.632081,-1.1434331,3.0810695
18,0.7115892,-0.22005272,4.830584
19,-0.4398589,-2.0542412,3.896803
20,0.3849964,-3.0457716,1.0714254
21,-1.7708998,-2.2929606,-1.4064933
22,-2.1300411,-1.8126435,-2.0752516
23,-1.2288718,-0.41726446,-2.3066404
24,-4.263174,0.15839386,0.09709692
25,-3.6313863,-0.92171335,4.673005
26,1.015623,-1.1079617,3.139957
27,1.1703347,-1.3821311,0.77325916
28,0.7385889,-0.82416344,-0.6496897
29,0.97161007,-0.14110947,-0.5192375
30,-0.098750114,0.17231941,-0.24624538
31,-0.5905061,-0.029151917,-0.19120312
32,-0.003971696,0.052111626,-0.045629025
33,-0.15014124,-0.008987427,0.16662359
34,-0.15484118,-0.0578928,-0.26297522
35,-0.2384826,0.07787609,-0.0958662
36,-0.25056732,0.09057903,-0.4821596
37,0.19048727,0.11206722,-0.075708866
38,-0.41398478,-0.06820679,-0.43380117
