index,x,y,z
0,0.14217436,-0.028738022,-0.08852124
1,0.2504903,-0.12005997,0.08580756
2,-0.03747499,-0.028053284,0.032414913
3,-0.15972781,0.052407265,0.026366472
4,0.17083323,-0.20572376,0.16761851
5,-0.09878254,-0.0019159317,0.052857637
6,0.05529797,-0.062130928,0.023830414
7,0.11468458,-0.09319496,-0.0597713
8,-0.07235968,-0.14051914,0.0892303
9,-0.18126523,0.007637024,-0.019642115
10,0.079197764,-0.11039257,-0.08719921
11,0.621562,-0.12982273,-0.20620823
12,3.4315255,-0.76981926,0.69723105
13,2.8571754,-0.15160179,1.0751226
14,2.6969886,-1.405458,2.5703728
15,-0.64158964,-1.3277059,-0.7246916
16,-5.6469073,-0.7306633,1.5558257
17,-6.650513,1.520834,-1.7351599
18,-5.0732303,-0.4733219,-1.1908791
19,-0.6005532,-1.668704,-0.051437378
20,1.6670043,-0.63785267,-0.43350232
21,3.8980448,-2.0746088,2.0777495
22,0.8302609,-4.1522713,0.06944394
23,0.5421752,-4.4492207,-0.2580228
24,1.4728931,2.028966,-3.2656004
25,-2.5387301,6.9084654,1.4673381
26,-0.81012666,2.2316294,1.2620549
27,0.23054051,-0.8269739,0.13052797
28,-0.29601836,0.08291721,-0.5949278
29,-0.19719124,0.2450695,-0.10184765
30,0.4184798,-0.1475687,-0.10373831
31,0.112383485,-0.060266495,0.10793781
32,0.14569414,-0.097990036,0.3252883
